Alarm with value triggered: Id=912568944,Tag=ognjen_tag1,Tag value= 45.3990499739547, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:19:09 PM
Alarm with value triggered: Id=1282655781,Tag=ognjen_tag1,Tag value= 83.8670567945424, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:19:19 PM
Alarm with value triggered: Id=1282616615,Tag=ognjen_tag1,Tag value= 83.8670567945424, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:19:19 PM
Alarm with value triggered: Id=1115293129,Tag=ognjen_tag1,Tag value= 99.8629534754574, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:19:29 PM
Alarm with value triggered: Id=1115313193,Tag=ognjen_tag1,Tag value= 99.8629534754574, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:19:29 PM
Alarm with value triggered: Id=1480704217,Tag=ognjen_tag1,Tag value= 89.1006524188368, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:19:39 PM
Alarm with value triggered: Id=1480665147,Tag=ognjen_tag1,Tag value= 89.1006524188368, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:19:39 PM
Alarm with value triggered: Id=1581882999,Tag=ognjen_tag1,Tag value= 54.4639035015027, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:19:49 PM
Alarm with value triggered: Id=1581853793,Tag=ognjen_tag1,Tag value= 54.4639035015027, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:19:49 PM
Alarm with value triggered: Id=1784631239,Tag=ognjen_tag1,Tag value= 45.3990499739547, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:20:09 PM
Alarm with value triggered: Id=1621603449,Tag=ognjen_tag1,Tag value= 83.8670567945424, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:20:19 PM
